Name,Range_km,Efficiency,Weight,Acceleration(0-100),Firth_stop_range,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price
Toyota bZ4X Touring AWD 74.7 kWh,385 km,184 Wh/km,2075,4.4,419,71,110,1500,600,138,N/A
Volkswagen ID.4 Pro,445 km,173 Wh/km,2144,6.7,490,77,120,1000,543,108,"€46,335"
Renault Zoe ZE50 R110,315 km,165 Wh/km,1577,11.4,274,52,41,0,338,111,"€36,840"
BYD TANG Flagship,460 km,237 Wh/km,2705,4.9,444,108.8,100,1500,235,149,"€69,615"
Rolls-Royce Spectre,465 km,219 Wh/km,2965,4.5,494,102,126,0,380,828,"€379,015"
Kia EV6 Long Range AWD,440 km,182 Wh/km,2160,5.2,549,80,205,1800,510,128,"€53,990"
BYD SEALION 7 82.5 kWh RWD Comfort,420 km,196 Wh/km,2300,6.7,440,82.5,115,750,578,121,"€47,990"
Tesla Model S Plaid,560 km,170 Wh/km,2265,2.4,636,95,140,1600,798,212,"€120,970"
Tesla Model 3 Long Range AWD,490 km,155 Wh/km,1919,4.4,584,76,135,1000,649,117,"€55,260"
Tesla Model 3 Performance,470 km,162 Wh/km,1919,3.6,555,76,135,0,649,137,"€59,560"
Mercedes-Benz EQB 250+,415 km,170 Wh/km,2105,8.9,414,70.5,90,1400,495,133,"€53,514"
Hyundai Kona Electric 64 kWh,390 km,164 Wh/km,1760,7.9,363,64,61,300,332,110,"€42,900"
Skoda Enyaq iV 80,440 km,175 Wh/km,2075,8.6,468,77,124,1000,585,112,"€48,900"
Tesla Model 3 RWD,400 km,143 Wh/km,1835,6.1,468,57,100,1000,649,114,"€44,668"
BYD DOLPHIN SURF 43.2 kWh Comfort,265 km,163 Wh/km,1465,9.1,275,43.2,60,0,308,107,"€30,990"
Renault Twingo E-Tech 27.5 kWh,185 km,149 Wh/km,1275,12.1,193,27.5,40,0,360,112,"€18,900"
Hyundai IONIQ 6 84 kWh RWD,545 km,147 Wh/km,2000,7.4,687,80,196,1500,446,101,"€55,300"
Mercedes-Benz CLA Shooting Brake 250+,565 km,150 Wh/km,2075,6.8,738,85,235,1500,556,99,"€57,096"
Hyundai INSTER Long Range,300 km,153 Wh/km,1410,10.6,311,46,70,0,351,89,"€25,400"
Tesla Model 3 Long Range AWD,525 km,143 Wh/km,1899,4.4,629,75,124,1000,682,101,"€49,990"
BMW i3 120 Ah,235 km,161 Wh/km,1345,7.3,222,37.9,46,0,260,167,"€39,000"
BYD SEAL U 87 kWh Design,425 km,205 Wh/km,2222,9.6,418,87,85,1300,552,107,"€44,990"
Mercedes-Benz GLB 250+,465 km,183 Wh/km,2200,7.4,573,85,208,1500,667,121,"€59,048"
BYD DOLPHIN 60.4 kWh,350 km,173 Wh/km,1733,7,338,60.48,65,0,345,100,"€32,990"
Lucid Air Grand Touring,720 km,163 Wh/km,2435,3.2,836,117,190,0,910,184,"€130,900"
MG ZS EV Long Range,370 km,185 Wh/km,1695,8.4,352,68.3,81,500,448,105,"€37,990"
Renault 4 E-Tech 52kWh 150hp,315 km,165 Wh/km,1537,8.2,330,52,75,750,420,98,"€32,400"
Omoda E5,330 km,178 Wh/km,1785,7.6,350,58.9,80,0,380,103,N/A
Mazda 6e 78 kWh,470 km,164 Wh/km,2090,7.9,545,77,135,1500,528,95,N/A
Hyundai IONIQ Electric,250 km,153 Wh/km,1602,9.7,230,38.3,32,0,357,146,"€35,350"
BMW iX xDrive50,505 km,208 Wh/km,2585,4.6,533,105.2,139,2500,500,213,"€100,100"
Tesla Model 3 RWD,420 km,136 Wh/km,1836,6.1,495,57,108,1000,682,101,"€40,970"
BYD SEAL 82.5 kWh RWD Design,480 km,172 Wh/km,2130,5.9,507,82.5,100,1000,453,104,"€48,990"
Changan Deepal S07 Standard,410 km,190 Wh/km,2148,7.9,386,77.97,70,1500,635,111,"€44,990"
Mini Cooper SE,180 km,161 Wh/km,1440,7.3,183,28.9,43,0,211,207,"€35,700"
Dongfeng Box 42.3 kWh,255 km,157 Wh/km,1430,12.5,254,40,51,750,326,96,N/A
Tesla Model 3 Performance,515 km,153 Wh/km,1929,3.4,604,79,125,0,682,121,"€59,470"
Kia e-Niro 64 kWh,375 km,171 Wh/km,1812,7.8,349,64,61,300,451,108,"€42,790"
Ford Puma Gen-E,275 km,159 Wh/km,1563,8,312,43.6,85,750,566,124,"€36,900"
Geely EX5,330 km,182 Wh/km,1815,6.9,365,60.22,95,0,461,111,N/A
Volkswagen ID.3 Pro S,475 km,166 Wh/km,1957,7.1,536,79,135,0,385,88,"€44,025"
MG MG4 Electric 51 kWh,300 km,169 Wh/km,1710,7.7,304,50.8,64,500,363,111,"€34,990"
BYD ATTO 3 Evo AWD Excellence,400 km,187 Wh/km,1990,3.9,455,74.8,130,1500,591,121,N/A
Citroen C5 Aircross Long Range,485 km,200 Wh/km,2246,8.8,492,96.9,135,1200,565,85,N/A
Volkswagen ID.4 Pro,445 km,173 Wh/km,2139,6.7,490,77,120,1000,543,99,"€46,335"
BMW iX1 eDrive20,400 km,163 Wh/km,1940,8.3,429,65.2,95,750,490,122,"€49,400"
Kia EV3 Standard Range,325 km,169 Wh/km,1800,7.5,341,55,80,500,485,114,"€35,990"
Mercedes-Benz CLA 350 4MATIC,575 km,148 Wh/km,2135,4.9,729,85,208,1800,506,108,"€60,285"
BMW i4 eDrive40,525 km,155 Wh/km,2120,5.6,595,81.3,130,1600,470,123,"€60,600"
MG MGS5 EV 64 kWh,365 km,170 Wh/km,1755,6.3,387,62.1,90,750,453,106,"€42,990"
Tesla Model Y Long Range RWD,470 km,160 Wh/km,1976,5.6,552,75,124,1600,971,112,"€50,970"
Hyundai Kona Electric 64 kWh,390 km,164 Wh/km,1760,7.9,363,64,61,0,361,110,"€41,850"
Hyundai IONIQ 5 84 kWh AWD,445 km,180 Wh/km,2165,5.3,546,80,196,1600,544,134,"€59,400"
Audi Q4 e-tron 45,420 km,183 Wh/km,2145,6.7,460,77,120,1000,520,129,"€52,950"
Ford Explorer Extended Range RWD,435 km,177 Wh/km,2090,6.4,452,77,120,1000,536,112,"€48,510"
Tesla Model Y Long Range AWD,425 km,169 Wh/km,2056,5,484,72,108,1600,971,147,"€59,965"
Audi Q4 e-tron 40,405 km,189 Wh/km,2125,8.5,430,76.6,124,1000,520,140,"€51,900"
Kia EV6 Long Range 2WD,410 km,180 Wh/km,1985,7.3,508,74,196,1600,532,126,"€51,990"
Volkswagen ID.4 Pro Performance,410 km,188 Wh/km,2109,8.5,436,77,124,1000,543,124,"€46,335"
Renault Scenic E-Tech EV87 220hp,480 km,181 Wh/km,1917,7.9,481,87,95,1100,545,100,"€48,900"
Volvo EX60 P10 AWD,500 km,182 Wh/km,2350,4.6,620,91,215,2400,575,135,"€65,990"
XPENG G9 AWD Performance,465 km,198 Wh/km,2470,4.2,600,92.2,330,1500,731,160,"€72,600"
Audi A6 Avant e-tron performance,575 km,165 Wh/km,2260,5.4,688,94.9,186,2100,529,138,"€77,250"
Mini Countryman E,385 km,168 Wh/km,1940,8.6,407,64.7,86,750,460,104,"€43,500"
Mercedes-Benz EQA 250,395 km,168 Wh/km,2045,8.6,405,66.5,100,1500,340,129,"€50,777"
XPENG P7+ RWD Long Range,445 km,164 Wh/km,2175,6.2,588,73,260,1500,573,111,"€49,600"
TOGG T10X Long Range RWD,435 km,195 Wh/km,2248,7.8,466,85,115,0,441,92,"€40,118"
Tesla Model S Dual Motor,575 km,165 Wh/km,2170,3.2,653,95,140,1600,798,185,"€110,970"
Nissan Ariya 87kWh,450 km,193 Wh/km,2121,7.6,435,87,80,750,468,104,"€53,490"
BMW iX1 eDrive20,390 km,166 Wh/km,1940,8.3,413,64.7,86,750,490,129,"€47,900"
BMW i4 M50,450 km,179 Wh/km,2290,3.9,499,80.7,112,1600,470,170,"€70,800"
Volvo EX60 P6,455 km,176 Wh/km,2190,5.9,562,80,190,2000,575,141,"€62,990"
Volkswagen ID.7 Pro,475 km,162 Wh/km,2172,6.5,541,77,125,1000,532,114,"€53,995"
Nissan LEAF Extended Range 75 kWh,460 km,163 Wh/km,1956,7.6,489,75.1,103,975,437,88,"€41,200"
Hongqi E-HS9 99 kWh,370 km,243 Wh/km,2705,4.9,367,90,112,1500,438,216,N/A
BMW iX xDrive60,525 km,208 Wh/km,2580,4.6,554,109.1,150,2500,500,195,"€99,900"
Lynk&Co 02,355 km,175 Wh/km,1820,5.5,383,62,90,1600,425,99,"€35,995"
Nissan LEAF 40 kWh,235 km,166 Wh/km,1580,7.9,218,39,40,0,435,136,"€29,990"
Volkswagen ID.3 Pure,325 km,160 Wh/km,1787,8.2,376,52,90,0,385,100,"€33,330"
Leapmotor C10 AWD 81.9 kWh,380 km,216 Wh/km,2264,4,405,81.9,120,1500,467,118,"€44,900"
Tesla Model 3 Premium AWD,555 km,142 Wh/km,1899,4.4,654,79,125,1000,682,96,"€50,970"
Hyundai IONIQ 6 Long Range 2WD,495 km,149 Wh/km,1985,7.4,630,74,196,1500,446,107,"€54,000"
Polestar 4 Long Range Single Motor,495 km,190 Wh/km,2305,7.4,533,94,135,1500,541,133,"€63,200"
TOGG T10F Long Range RWD,490 km,173 Wh/km,2154,7.5,531,85,115,0,505,82,"€40,118"
Mercedes-Benz G 580,395 km,294 Wh/km,3085,4.7,394,116,150,0,555,465,"€142,622"
Peugeot e-208,270 km,171 Wh/km,1530,8.1,292,46.3,74,0,265,119,"€30,450"
Peugeot e-2008 54 kWh,300 km,169 Wh/km,1623,9.1,327,50.8,79,0,434,129,"€40,550"
Peugeot e-3008 73 kWh,380 km,192 Wh/km,2183,8.8,397,73,90,1250,588,129,"€48,750"
KGM Torres EVX,370 km,195 Wh/km,1979,8.1,368,72,85,1500,839,113,"€41,990"
Suzuki e VITARA 61 kWh 2WD,330 km,181 Wh/km,1835,8.7,307,59.8,60,750,238,111,"€36,490"
Polestar 2 Long Range Dual Motor,390 km,192 Wh/km,2188,4.7,412,75,97,1500,440,144,"€54,995"
Tesla Model S 75D,380 km,191 Wh/km,2183,4.4,386,72.5,80,0,804,216,"€71,019"
Volkswagen ID.7 Tourer Pro S,520 km,165 Wh/km,2235,6.7,589,86,145,1000,605,116,"€59,895"
Hyundai IONIQ 6 63 kWh RWD,420 km,143 Wh/km,1892,8.3,526,60,150,750,446,108,"€45,550"
Audi A6 Sportback e-tron performance,600 km,158 Wh/km,2250,5.4,718,94.9,186,2100,529,129,"€75,600"
Mazda 6e Long Range 80 kWh,480 km,162 Wh/km,2037,7.8,459,77.97,70,1500,526,97,"€46,500"
CUPRA Tavascan Endurance,445 km,173 Wh/km,2178,6.8,467,77,120,1000,540,120,"€56,210"
MG MG5 Electric Long Range,335 km,171 Wh/km,1637,7.7,325,57.4,60,500,479,113,"€38,490"
BYD SEAL U 71.8 kWh Comfort,360 km,199 Wh/km,2095,9.3,352,71.8,72,1300,552,118,"€41,990"
Audi e-tron 50 quattro,280 km,231 Wh/km,2445,6.8,299,64.7,114,1800,722,240,"€69,100"
Citroen e-C3 Standard Range 44 kWh,255 km,172 Wh/km,1491,11.5,271,43.8,62,550,310,96,"€23,300"
Polestar 2 Long Range Single Motor,420 km,179 Wh/km,2069,7.4,443,75,97,1500,440,124,"€50,995"
Citroen e-C4,290 km,160 Wh/km,1636,9.7,315,46.3,74,0,380,125,"€34,875"
Toyota bZ4X Touring FWD 74.7 kWh,400 km,178 Wh/km,1975,7.2,433,71,110,750,600,122,N/A
Citroen e-C3 Aircross Extended Range 54 kWh,290 km,184 Wh/km,1607,13,298,53.5,70,550,460,101,"€30,690"
Jeep Avenger Electric,310 km,164 Wh/km,1595,9,330,50.8,79,0,355,122,"€38,500"
Fiat 600e,310 km,164 Wh/km,1595,9,336,50.8,79,0,360,103,"€36,490"
Ford Explorer Extended Range RWD,450 km,176 Wh/km,2090,6.4,500,79,135,1200,532,103,"€48,900"
BMW i4 eDrive35,430 km,156 Wh/km,2075,6,486,67.1,95,1600,470,137,"€57,500"
Tesla Model 3 Long Range AWD,465 km,155 Wh/km,1919,4.4,534,72,108,1000,649,121,"€53,560"
BYD HAN,475 km,180 Wh/km,2325,3.9,473,85.4,85,0,410,146,"€69,020"
Peugeot e-5008 73 kWh,370 km,197 Wh/km,2260,9.7,388,73,90,1000,348,140,"€51,250"
Tesla Model S 100D,485 km,196 Wh/km,2290,4.3,486,95,100,0,895,223,"€108,420"
Polestar 5 Dual Motor,580 km,183 Wh/km,2462,3.9,698,106,210,1800,427,197,"€118,600"
BMW i4 eDrive40,515 km,158 Wh/km,2125,5.6,587,81.3,130,1600,470,124,"€60,500"
XPENG G6 AWD Performance,425 km,188 Wh/km,2295,4.1,548,80,290,1500,571,128,"€51,600"
Hyundai IONIQ 5 Long Range AWD,385 km,192 Wh/km,2120,5.1,479,74,196,1600,551,154,"€59,200"
CUPRA Born 170 kW - 79 kWh,470 km,168 Wh/km,1977,7.1,526,79,135,0,385,92,"€47,350"
Volkswagen ID.3 1st,350 km,166 Wh/km,1794,7.3,369,58,75,0,385,113,"€38,987"
BYD SEAL 61.4 kWh RWD Comfort,365 km,168 Wh/km,2045,7.5,384,61.4,75,750,453,121,"€46,990"
Tesla Model 3 Performance,460 km,163 Wh/km,1919,3.6,543,75,124,0,649,130,"€57,668"
BMW i7 xDrive60,510 km,199 Wh/km,2715,4.7,560,101.7,149,2000,500,272,"€139,900"
Hyundai IONIQ 5 N,390 km,205 Wh/km,2225,3.4,476,80,196,0,480,191,"€74,900"
Volkswagen ID. Buzz Pro,345 km,223 Wh/km,2459,10.2,368,77,115,1000,1121,183,"€64,581"
Toyota bZ4X FWD,350 km,183 Wh/km,1970,7.5,373,64,85,750,452,125,"€42,900"
Tesla Model Y RWD,345 km,165 Wh/km,1992,6.9,429,57,140,1600,971,139,"€45,970"
Renault Zoe ZE50 R135,310 km,168 Wh/km,1577,9.5,271,52,41,0,338,117,"€37,840"
Skoda Enyaq iV 60,340 km,171 Wh/km,1965,8.7,355,58,75,1000,585,129,"€42,100"
Mercedes-Benz CLA 200,400 km,145 Wh/km,2045,7.5,493,58,125,1500,506,122,"€49,421"
Mercedes-Benz EQA 250+,420 km,168 Wh/km,2050,8.6,414,70.5,90,1500,340,126,"€52,205"
Hyundai IONIQ 6 Standard Range 2WD,335 km,149 Wh/km,1850,8.8,418,50,120,750,446,134,"€43,900"
BYD DOLPHIN 60.4 kWh,350 km,173 Wh/km,1733,7,354,60.48,75,0,345,101,"€34,640"
Audi Q6 SUV e-tron quattro,480 km,198 Wh/km,2400,5.9,558,94.9,186,2400,590,161,"€74,700"
Tesla Model 3 Long Range RWD,580 km,136 Wh/km,1822,5.2,688,79,125,1000,682,83,"€45,970"
Volkswagen ID.3 Pro,365 km,162 Wh/km,1815,7.6,422,59,110,0,385,104,"€36,425"
XPENG G6 RWD Long Range,480 km,182 Wh/km,2100,6.7,574,87.5,180,1500,571,104,"€47,600"
MG MG4 Premium Extended Range,435 km,171 Wh/km,1830,6.2,444,74.4,80,500,388,87,N/A
Mini Cooper SE,330 km,149 Wh/km,1680,6.7,356,49.2,75,0,200,117,"€36,900"
Kia EV9 99.8 kWh AWD,435 km,221 Wh/km,2625,6,485,96,196,2500,385,162,"€68,990"
Hyundai IONIQ 9 Long Range AWD,495 km,214 Wh/km,2653,6.7,567,106,195,2500,390,160,"€81,500"
Porsche Cayenne Electric,520 km,208 Wh/km,2600,4.8,668,108,290,3000,871,199,"€105,200"
Volvo ES90 Single Motor,485 km,181 Wh/km,2410,6.6,584,88,170,1600,468,152,"€71,990"
Mini Countryman E,400 km,163 Wh/km,1940,8.6,421,65.2,86,750,460,94,"€38,120"
Mercedes-Benz EQV 300 Long,320 km,281 Wh/km,2625,12.1,297,90,96,0,1030,267,"€62,010"
Tesla Model 3 Standard Range Plus,350 km,150 Wh/km,1825,5.6,412,52.5,95,1000,649,136,"€45,560"
Tesla Model 3 Long Range RWD,495 km,152 Wh/km,1825,5.9,586,75,124,1000,649,102,N/A
Smart #5 Brabus,460 km,209 Wh/km,2453,3.8,570,96,230,1600,677,133,"€60,900"
BYD ATTO 2 64.8 kWh,305 km,190 Wh/km,1795,7.9,340,58,100,750,450,130,"€41,990"
Tesla Model 3 Long Range RWD,475 km,155 Wh/km,1801,5.3,567,73.5,136,910,542,114,N/A
BYD DOLPHIN SURF 43.2 kWh Boost,270 km,160 Wh/km,1445,12.1,283,43.2,60,0,308,95,"€26,990"
Kia EV4 Fastback 81.4 kWh,495 km,158 Wh/km,1900,7.7,518,78,105,1000,490,92,"€47,140"
Ford Explorer Standard Range RWD,335 km,173 Wh/km,1996,8,353,58,85,1000,532,118,"€39,900"
Hyundai IONIQ Electric,190 km,147 Wh/km,1495,9.9,225,28,65,0,350,173,"€33,300"
Volkswagen ID.3 Pro,350 km,166 Wh/km,1815,7.3,378,58,82,0,385,125,"€39,995"
Tesla Model X 100D,435 km,218 Wh/km,2533,4.9,434,95,100,2250,0,259,"€115,000"
Hyundai IONIQ 5 63 kWh RWD,345 km,174 Wh/km,1955,8.5,423,60,150,750,577,128,"€43,900"
Renault Megane E-Tech EV60 220hp,380 km,158 Wh/km,1719,7.4,404,60,80,900,440,101,"€40,990"
Toyota bZ4X AWD 73.1 kWh,375 km,184 Wh/km,2095,5.1,413,69,110,1500,452,142,"€50,990"
Opel Frontera Electric 54 kWh,290 km,184 Wh/km,1610,13,298,53.5,70,550,460,108,"€31,190"
BMW i5 eDrive40 Sedan,470 km,173 Wh/km,2205,6,525,81.2,123,1500,490,166,"€70,200"
Skoda Elroq 50,310 km,168 Wh/km,1946,9,351,52,90,1000,470,111,"€33,900"
KGM Torres EVX 80.6 kWh,400 km,198 Wh/km,2000,8.2,403,79,95,1500,839,103,N/A
Zeekr 7X Privilege AWD,485 km,198 Wh/km,2535,3.8,625,96,260,2000,581,134,"€65,950"
Skoda Enyaq 85,450 km,171 Wh/km,2137,6.7,467,77,120,1000,585,112,"€48,900"
MG ZS EV,220 km,193 Wh/km,1566,8.2,220,42.5,50,0,448,141,"€31,990"
firefly firefly,240 km,172 Wh/km,1542,8.1,256,41.2,65,0,496,125,N/A
Peugeot e-3008 97 kWh Long Range,500 km,194 Wh/km,2241,8.7,512,96.9,135,1200,588,106,"€52,850"
Ford Mustang Mach-E ER RWD,480 km,190 Wh/km,2161,5.9,489,91,115,1500,619,120,"€58,500"
MG Marvel R,365 km,192 Wh/km,1885,7.9,344,70,81,750,507,125,"€46,990"
Dacia Spring Electric 70,165 km,145 Wh/km,1070,12.3,166,24,35,0,342,108,"€16,900"
Audi Q8 SUV e-tron 55 quattro,505 km,210 Wh/km,2585,5.6,515,106,145,1800,631,171,"€87,300"
Hyundai IONIQ 5 Long Range 2WD,370 km,189 Wh/km,1985,7.4,458,70,179,1600,588,130,"€45,900"
XPENG G9 RWD Long Range,480 km,192 Wh/km,2365,6.4,619,92.2,330,1500,731,135,"€63,600"
Toyota bZ4X AWD,345 km,186 Wh/km,2070,6.9,366,64,85,750,452,154,"€50,490"
Changan Deepal S05 4WD Max,365 km,186 Wh/km,2115,5.5,428,68,130,1600,651,124,"€44,990"
Zeekr 7GT Privilege AWD,515 km,186 Wh/km,2480,3.3,671,96,260,1600,488,115,"€60,450"
Tesla Model X Plaid,465 km,204 Wh/km,2539,2.9,516,95,140,2250,608,280,"€125,970"
BMW iX xDrive45,470 km,202 Wh/km,2525,5.1,490,94.8,115,2500,500,182,"€83,500"
Smart EQ fortwo coupe,100 km,167 Wh/km,1095,11.6,71,16.7,0,0,260,241,"€21,940"
Kia EV6 Long Range 2WD,455 km,176 Wh/km,2050,7.3,565,80,205,1800,542,111,"€49,990"
Polestar 5 Performance,530 km,200 Wh/km,2465,3.2,637,106,210,1800,427,256,"€141,600"
Citroen e-C3 Urban Range 30 kWh,175 km,170 Wh/km,1413,11.6,156,29.8,30,0,310,119,"€19,990"
Zeekr 001 Performance AWD,480 km,196 Wh/km,2410,3.8,524,94,135,2000,569,140,"€66,950"
BYD SEALION 7 82.5 kWh AWD Design,405 km,204 Wh/km,2415,4.5,431,82.5,115,1500,578,138,"€53,990"
Leapmotor C10 RWD 81.9 kWh,410 km,200 Wh/km,2130,6.6,439,81.9,120,1500,467,103,"€41,900"
